InvoiceNo,StockCode,Quantity,UnitPrice,Country,id_data
536373,22752,2,7.65,United Kingdom,64
536373,21730,6,4.25,United Kingdom,65
536374,21258,32,10.95,United Kingdom,66
536375,85123A,6,2.55,United Kingdom,67
536375,71053,6,3.39,United Kingdom,68
536375,84406B,8,2.75,United Kingdom,69
536375,20679,6,4.95,United Kingdom,70
536375,37370,6,1.06,United Kingdom,71
536375,21871,6,1.06,United Kingdom,72
536375,21071,6,1.06,United Kingdom,73
536375,21068,6,1.06,United Kingdom,74
536375,82483,2,4.95,United Kingdom,75
536375,82486,4,6.95,United Kingdom,76
536375,82482,6,2.1,United Kingdom,77
536375,82494L,6,2.55,United Kingdom,78
536375,84029G,6,3.39,United Kingdom,79
536375,84029E,6,3.39,United Kingdom,80
536375,22752,2,7.65,United Kingdom,81
536375,21730,6,4.25,United Kingdom,82
536376,22114,48,3.45,United Kingdom,83
536376,21733,64,2.55,United Kingdom,84
536377,22632,6,1.85,United Kingdom,85
536377,22633,6,1.85,United Kingdom,86
536378,22386,10,1.95,United Kingdom,87
536378,85099C,10,1.95,United Kingdom,88
536378,21033,10,2.95,United Kingdom,89
536378,20723,10,0.85,United Kingdom,90
536378,84997B,12,3.75,United Kingdom,91
536378,84997C,6,3.75,United Kingdom,92
536378,21094,12,0.85,United Kingdom,93
536378,20725,10,1.65,United Kingdom,94
536378,21559,6,2.55,United Kingdom,95
536378,22352,6,2.55,United Kingdom,96
536378,21212,120,0.42,United Kingdom,97
536378,21975,24,0.55,United Kingdom,98
536378,21977,24,0.55,United Kingdom,99
536378,84991,24,0.55,United Kingdom,100
536378,84519A,6,2.95,United Kingdom,101
536378,85183B,48,1.25,United Kingdom,102
536378,85071B,96,0.38,United Kingdom,103
536378,21931,10,1.95,United Kingdom,104
536378,21929,10,1.95,United Kingdom,105
536380,22961,24,1.45,United Kingdom,106
536381,22139,23,4.25,United Kingdom,107
536381,84854,5,4.95,United Kingdom,108
536381,22411,10,1.95,United Kingdom,109
536381,82567,2,2.1,United Kingdom,110
536381,21672,6,1.25,United Kingdom,111
536381,22774,24,1.25,United Kingdom,112
536381,22771,24,1.25,United Kingdom,113
536381,71270,1,1.25,United Kingdom,114
536381,22262,1,0.85,United Kingdom,115
536381,22637,1,2.55,United Kingdom,116
536381,21934,10,1.65,United Kingdom,117
536381,21169,3,1.69,United Kingdom,118
536381,21166,1,1.95,United Kingdom,119
536381,21175,2,2.1,United Kingdom,120
536381,37444A,1,2.95,United Kingdom,121
536381,37444C,1,2.95,United Kingdom,122
536381,22086,4,2.95,United Kingdom,123
536381,22083,1,2.95,United Kingdom,124
536381,84971S,6,0.85,United Kingdom,125
536381,71270,3,1.25,United Kingdom,126
536381,47580,2,2.55,United Kingdom,127
536381,22261,1,0.85,United Kingdom,128
536381,84832,1,0.85,United Kingdom,129
536381,22644,1,1.45,United Kingdom,130
536381,21533,1,4.95,United Kingdom,131
536381,21557,2,2.95,United Kingdom,132
536381,15056BL,2,5.95,United Kingdom,133
536381,15056N,2,5.95,United Kingdom,134
536381,22646,4,1.45,United Kingdom,135
536381,22176,1,2.95,United Kingdom,136
536381,22438,1,1.95,United Kingdom,137
536381,21731,2,1.65,United Kingdom,138
536381,22778,3,3.95,United Kingdom,139
536381,22719,36,1.06,United Kingdom,140
536381,21523,10,6.75,United Kingdom,141
C536379,D,-1,27.5,United Kingdom,142
536382,10002,12,0.85,United Kingdom,143
536382,21912,8,3.75,United Kingdom,144
536382,21832,12,1.65,United Kingdom,145
536382,22411,10,1.95,United Kingdom,146
536382,22379,10,2.1,United Kingdom,147
536382,22381,50,1.85,United Kingdom,148
536382,22798,8,2.95,United Kingdom,149
536382,22726,4,3.75,United Kingdom,150
536382,22926,12,5.95,United Kingdom,151
536382,22839,2,14.95,United Kingdom,152
536382,22838,2,14.95,United Kingdom,153
536382,22783,4,16.95,United Kingdom,154
C536383,35004C,-1,4.65,United Kingdom,155
536384,82484,3,6.45,United Kingdom,156
536384,84755,48,0.65,United Kingdom,157
536384,22464,12,1.65,United Kingdom,158
536384,21324,6,2.95,United Kingdom,159
536384,22457,12,2.95,United Kingdom,160
536384,22469,40,1.45,United Kingdom,161
536384,22470,40,2.55,United Kingdom,162
536384,22224,6,2.95,United Kingdom,163
536384,21340,2,12.75,United Kingdom,164
536384,22189,4,3.95,United Kingdom,165
536384,22427,3,5.95,United Kingdom,166
536384,22428,6,6.95,United Kingdom,167
536384,22424,8,10.95,United Kingdom,168
536385,22783,1,19.95,United Kingdom,169
536385,22961,12,1.45,United Kingdom,170
536385,22960,6,4.25,United Kingdom,171
536385,22663,10,1.95,United Kingdom,172
536385,85049A,12,1.25,United Kingdom,173
536385,22168,2,8.5,United Kingdom,174
536385,22662,10,1.65,United Kingdom,175
536386,84880,36,4.95,United Kingdom,176
536386,85099C,100,1.65,United Kingdom,177
536386,85099B,100,1.65,United Kingdom,178
536387,79321,192,3.82,United Kingdom,179
536387,22780,192,3.37,United Kingdom,180
536387,22779,192,3.37,United Kingdom,181
536387,22466,432,1.45,United Kingdom,182
536387,21731,432,1.25,United Kingdom,183
536388,21754,3,5.95,United Kingdom,184
536388,21755,3,5.95,United Kingdom,185
536388,21523,2,7.95,United Kingdom,186
536388,21363,3,4.95,United Kingdom,187
536388,21411,3,4.25,United Kingdom,188
536388,22318,6,2.95,United Kingdom,189
536388,22464,12,1.65,United Kingdom,190
536388,22915,12,0.42,United Kingdom,191
536388,22922,12,0.85,United Kingdom,192
536388,22969,12,1.45,United Kingdom,193
536388,22923,12,0.85,United Kingdom,194
536388,21115,4,6.75,United Kingdom,195
536388,22469,12,1.65,United Kingdom,196
536388,22242,12,1.65,United Kingdom,197
536389,22941,6,8.5,Australia,198
536389,21622,8,4.95,Australia,199
536389,21791,12,1.25,Australia,200
536389,35004C,6,5.45,Australia,201
536389,35004G,4,6.35,Australia,202
536389,85014B,6,5.95,Australia,203
536389,85014A,3,5.95,Australia,204
536389,22193,2,8.5,Australia,205
536389,22726,4,3.75,Australia,206
536389,22727,4,3.75,Australia,207
536389,22192,2,8.5,Australia,208
536389,22191,2,8.5,Australia,209
536389,22195,24,1.65,Australia,210
536389,22196,24,0.85,Australia,211
536390,22941,2,8.5,United Kingdom,212
536390,22960,12,3.75,United Kingdom,213
536390,22961,12,1.45,United Kingdom,214
536390,22962,48,0.72,United Kingdom,215
536390,22963,48,0.72,United Kingdom,216
536390,22968,8,8.5,United Kingdom,217
536390,84970S,144,0.64,United Kingdom,218
536390,22910,40,2.55,United Kingdom,219
536390,20668,288,0.1,United Kingdom,220
536390,85123A,64,2.55,United Kingdom,221
536390,22197,100,0.72,United Kingdom,222
536390,22198,50,1.45,United Kingdom,223
536390,21533,12,4.25,United Kingdom,224
536390,21080,96,0.64,United Kingdom,225
536390,21094,96,0.64,United Kingdom,226
536390,21086,48,0.65,United Kingdom,227
536390,21786,144,0.32,United Kingdom,228
536390,22654,40,4.95,United Kingdom,229
536390,21485,24,4.25,United Kingdom,230
536390,84029G,24,3.39,United Kingdom,231
536390,84030E,24,3.75,United Kingdom,232
536390,22174,48,1.48,United Kingdom,233
536390,22969,96,1.25,United Kingdom,234
536390,85099B,100,1.65,United Kingdom,235
C536391,22556,-12,1.65,United Kingdom,236
C536391,21984,-24,0.29,United Kingdom,237
C536391,21983,-24,0.29,United Kingdom,238
C536391,21980,-24,0.29,United Kingdom,239
C536391,21484,-12,3.45,United Kingdom,240
C536391,22557,-12,1.65,United Kingdom,241
C536391,22553,-24,1.65,United Kingdom,242
536392,22150,6,1.95,United Kingdom,243
536392,22619,4,3.75,United Kingdom,244
536392,21891,12,1.25,United Kingdom,245
536392,21889,12,1.25,United Kingdom,246
536392,22827,1,165.0,United Kingdom,247
536392,22127,12,1.25,United Kingdom,248
536392,22128,12,1.25,United Kingdom,249
536392,22502,4,5.95,United Kingdom,250
536392,84879,16,1.69,United Kingdom,251
536392,22338,24,0.65,United Kingdom,252
536393,22180,8,9.95,United Kingdom,253
536394,21506,24,0.42,United Kingdom,254
536394,22633,96,1.85,United Kingdom,255
536394,22866,96,1.85,United Kingdom,256
536394,22865,96,1.85,United Kingdom,257
536394,22632,96,1.85,United Kingdom,258
536394,21485,12,4.95,United Kingdom,259
536394,22349,12,3.75,United Kingdom,260
536394,22558,48,1.25,United Kingdom,261
536394,85152,12,2.1,United Kingdom,262
536394,85123A,32,2.55,United Kingdom,263
536394,22652,20,1.65,United Kingdom,264
536395,22188,8,3.95,United Kingdom,265
536395,84879,32,1.69,United Kingdom,266
536395,21977,24,0.55,United Kingdom,267
536395,84991,24,0.55,United Kingdom,268
536395,21212,24,0.55,United Kingdom,269
536395,21484,8,3.45,United Kingdom,270
536395,21314,8,2.1,United Kingdom,271
536395,22730,4,3.75,United Kingdom,272
536395,22727,8,3.75,United Kingdom,273
536395,22729,8,3.75,United Kingdom,274
536395,22726,8,3.75,United Kingdom,275
536395,22114,8,3.95,United Kingdom,276
536395,22867,48,2.1,United Kingdom,277
536395,22866,48,2.1,United Kingdom,278
536396,85123A,6,2.55,United Kingdom,279
536396,71053,6,3.39,United Kingdom,280
536396,84406B,8,2.75,United Kingdom,281
536396,15056BL,6,4.95,United Kingdom,282
536396,20679,6,4.95,United Kingdom,283
536396,37370,6,1.06,United Kingdom,284
536396,21871,6,1.06,United Kingdom,285
536396,21071,6,1.06,United Kingdom,286
536396,21068,6,1.06,United Kingdom,287
536396,82483,2,4.95,United Kingdom,288
536396,82486,4,6.95,United Kingdom,289
536396,82482,6,2.1,United Kingdom,290
536396,82494L,12,2.55,United Kingdom,291
536396,84029G,6,3.39,United Kingdom,292
536396,84029E,6,3.39,United Kingdom,293
536396,22752,2,7.65,United Kingdom,294
536396,22803,2,35.75,United Kingdom,295
536396,21730,6,4.25,United Kingdom,296
536397,35004B,12,4.65,United Kingdom,297
536397,35004C,48,4.65,United Kingdom,298
536398,21980,24,0.29,United Kingdom,299
536398,21844,6,2.95,United Kingdom,300
536398,22468,4,6.75,United Kingdom,301
536398,22637,8,2.55,United Kingdom,302
536398,22752,6,8.5,United Kingdom,303
536398,48185,2,7.95,United Kingdom,304
536398,22632,12,2.1,United Kingdom,305
536398,22866,12,2.1,United Kingdom,306
536398,22865,12,2.1,United Kingdom,307
536398,21232,12,1.25,United Kingdom,308
536398,22064,12,1.65,United Kingdom,309
536398,22449,6,3.35,United Kingdom,310
536398,22114,4,3.95,United Kingdom,311
536398,22835,8,4.65,United Kingdom,312
536398,22112,9,4.95,United Kingdom,313
536398,21479,4,3.75,United Kingdom,314
536398,22111,9,4.95,United Kingdom,315
536399,22632,6,1.85,United Kingdom,316
536399,22633,6,1.85,United Kingdom,317
536400,22969,12,1.45,United Kingdom,318
536401,22110,1,2.55,United Kingdom,319
536401,22098,1,1.25,United Kingdom,320
536401,22100,2,1.25,United Kingdom,321
536401,22766,1,2.95,United Kingdom,322
536401,22451,1,3.35,United Kingdom,323
536401,22549,1,1.45,United Kingdom,324
536401,84744,1,1.25,United Kingdom,325
536401,85049E,2,1.25,United Kingdom,326
536401,21328,1,1.65,United Kingdom,327
536401,22961,4,1.45,United Kingdom,328
536401,17091A,1,1.25,United Kingdom,329
536401,22473,1,4.95,United Kingdom,330
536401,84509A,2,3.75,United Kingdom,331
536401,84510A,2,1.25,United Kingdom,332
536401,22767,2,9.95,United Kingdom,333
536401,22768,1,9.95,United Kingdom,334
536401,21463,1,5.95,United Kingdom,335
536401,21464,1,4.25,United Kingdom,336
536401,20820,3,4.95,United Kingdom,337
536401,85150,1,2.55,United Kingdom,338
536401,22117,1,2.95,United Kingdom,339
536401,21169,2,1.69,United Kingdom,340
536401,48129,1,7.95,United Kingdom,341
536401,82580,1,0.55,United Kingdom,342
536401,82578,1,0.55,United Kingdom,343
536401,82581,2,0.55,United Kingdom,344
536401,22413,4,2.95,United Kingdom,345
536401,21907,2,2.1,United Kingdom,346
536401,22441,1,2.1,United Kingdom,347
536401,21122,1,1.25,United Kingdom,348
536401,22851,1,0.85,United Kingdom,349
536401,84991,3,0.55,United Kingdom,350
536401,22810,1,2.95,United Kingdom,351
536401,22809,1,2.95,United Kingdom,352
536401,22435,2,1.25,United Kingdom,353
536401,20966,3,1.25,United Kingdom,354
536401,20963,1,1.25,United Kingdom,355
536401,20961,1,1.25,United Kingdom,356
536401,22068,2,1.65,United Kingdom,357
536401,21743,2,2.95,United Kingdom,358
536401,21744,2,2.95,United Kingdom,359
536401,84709B,1,5.95,United Kingdom,360
536401,21592,1,1.25,United Kingdom,361
536401,21587,2,2.55,United Kingdom,362
536401,20992,9,0.85,United Kingdom,363
536401,22662,1,1.65,United Kingdom,364
536401,85123A,4,2.95,United Kingdom,365
536401,22804,3,2.95,United Kingdom,366
536401,82483,1,5.95,United Kingdom,367
536401,20749,1,7.95,United Kingdom,368
536401,20725,1,1.65,United Kingdom,369
536401,22382,2,1.65,United Kingdom,370
536401,20726,1,1.65,United Kingdom,371
536401,22384,1,1.65,United Kingdom,372
536401,22467,5,2.55,United Kingdom,373
536401,84625C,3,2.95,United Kingdom,374
536401,84625A,3,2.95,United Kingdom,375
536401,21108,9,2.55,United Kingdom,376
536401,22848,1,16.95,United Kingdom,377
536401,21033,4,2.95,United Kingdom,378
536401,47570B,1,10.65,United Kingdom,379
536401,84030E,1,4.25,United Kingdom,380
536401,22428,2,6.95,United Kingdom,381
536401,22502,2,5.95,United Kingdom,382
536402,22086,40,2.55,United Kingdom,383
536402,22910,40,2.55,United Kingdom,384
536402,22837,36,4.25,United Kingdom,385
536403,22867,96,1.85,Netherlands,386
536403,POST,1,15.0,Netherlands,387
536404,22297,24,1.25,United Kingdom,388
536404,22771,12,1.25,United Kingdom,389
536404,22772,12,1.25,United Kingdom,390
536404,22773,12,1.25,United Kingdom,391
536404,22805,12,1.25,United Kingdom,392
536404,22469,12,1.65,United Kingdom,393
536404,22197,36,0.85,United Kingdom,394
536404,21125,12,1.25,United Kingdom,395
536404,21126,12,1.25,United Kingdom,396
536404,85049C,12,1.25,United Kingdom,397
536404,85049D,12,1.25,United Kingdom,398
536404,85049E,12,1.25,United Kingdom,399
536404,85049G,12,1.25,United Kingdom,400
536404,21061,12,0.85,United Kingdom,401
536404,21063,12,0.85,United Kingdom,402
536404,21062,12,0.85,United Kingdom,403
536404,84380,12,1.25,United Kingdom,404
536404,84378,12,1.25,United Kingdom,405
536404,22964,12,2.1,United Kingdom,406
536404,21213,24,0.55,United Kingdom,407
536404,22417,24,0.55,United Kingdom,408
536404,21212,24,0.55,United Kingdom,409
536404,84992,24,0.55,United Kingdom,410
536404,21975,24,0.55,United Kingdom,411
536404,22383,10,1.65,United Kingdom,412
536404,20728,10,1.65,United Kingdom,413
536404,20727,10,1.65,United Kingdom,414
536404,22296,24,1.65,United Kingdom,415
536405,20914,128,2.55,United Kingdom,416
536406,85123A,8,2.55,United Kingdom,417
536406,71053,8,3.39,United Kingdom,418
536406,84406B,8,2.75,United Kingdom,419
536406,20679,6,4.95,United Kingdom,420
536406,37370,6,1.06,United Kingdom,421
536406,21871,6,1.06,United Kingdom,422
536406,21071,6,1.06,United Kingdom,423
536406,21068,6,1.06,United Kingdom,424
536406,82483,4,4.95,United Kingdom,425
536406,82486,4,6.95,United Kingdom,426
536406,82482,6,2.1,United Kingdom,427
536406,82494L,6,2.55,United Kingdom,428
536406,84029G,6,3.39,United Kingdom,429
536406,84029E,6,3.39,United Kingdom,430
536406,22752,2,7.65,United Kingdom,431
536406,22803,2,35.75,United Kingdom,432
536406,21730,6,4.25,United Kingdom,433
536407,22632,6,1.85,United Kingdom,434
536407,22633,6,1.85,United Kingdom,435
536408,22537,24,0.42,United Kingdom,436
536408,22533,24,0.42,United Kingdom,437
536408,20982,12,0.85,United Kingdom,438
536408,21832,12,1.65,United Kingdom,439
536408,21915,12,1.25,United Kingdom,440
536408,21914,12,1.25,United Kingdom,441
536408,21544,12,0.85,United Kingdom,442
536408,22813,12,1.95,United Kingdom,443
536408,22114,4,3.95,United Kingdom,444
536408,84029E,4,3.75,United Kingdom,445
536408,21479,4,3.75,United Kingdom,446
536408,22964,6,2.1,United Kingdom,447
536408,84375,12,2.1,United Kingdom,448
536408,22418,24,0.85,United Kingdom,449
536408,22178,12,1.25,United Kingdom,450
536408,84970L,12,0.95,United Kingdom,451
536408,21733,6,2.95,United Kingdom,452
536408,22465,12,1.65,United Kingdom,453
536408,84949,6,1.65,United Kingdom,454
536408,20685,2,7.95,United Kingdom,455
536408,48194,2,7.95,United Kingdom,456
536408,22488,12,1.65,United Kingdom,457
536408,22219,12,0.85,United Kingdom,458
536408,84879,8,1.69,United Kingdom,459
536408,21754,3,5.95,United Kingdom,460
536408,21755,3,5.95,United Kingdom,461
536408,22766,8,2.95,United Kingdom,462
536408,22610,36,0.85,United Kingdom,463
536408,22716,12,0.42,United Kingdom,464
536408,22706,25,0.42,United Kingdom,465
536408,22371,4,4.25,United Kingdom,466
536408,85014B,3,5.95,United Kingdom,467
536408,85014A,3,5.95,United Kingdom,468
536408,84997B,6,3.75,United Kingdom,469
536408,21212,24,0.55,United Kingdom,470
536408,21210,12,1.45,United Kingdom,471
536408,22914,3,4.95,United Kingdom,472
536408,22553,12,1.65,United Kingdom,473
536408,16237,30,0.21,United Kingdom,474
536408,22714,12,0.42,United Kingdom,475
536408,22812,12,1.95,United Kingdom,476
536408,84347,6,2.55,United Kingdom,477
536408,21587,12,2.55,United Kingdom,478
536408,22736,10,1.65,United Kingdom,479
536408,22492,36,0.65,United Kingdom,480
536408,22620,12,1.25,United Kingdom,481
536408,22619,4,3.75,United Kingdom,482
536408,21705,12,1.65,United Kingdom,483
536409,90199C,3,6.35,United Kingdom,484
536409,21479,1,3.75,United Kingdom,485
536409,22111,1,4.95,United Kingdom,486
536409,22785,1,6.75,United Kingdom,487
536409,22975,1,1.25,United Kingdom,488
536409,22972,1,1.65,United Kingdom,489
536409,22866,1,2.1,United Kingdom,490
536409,22568,1,3.75,United Kingdom,491
536409,85116,1,2.1,United Kingdom,492
536409,22664,1,2.1,United Kingdom,493
536409,21609,1,2.95,United Kingdom,494
536409,21866,1,1.25,United Kingdom,495
536409,20669,1,1.25,United Kingdom,496
536409,90129F,1,2.95,United Kingdom,497
536409,90210B,1,2.95,United Kingdom,498
536409,90199C,1,6.35,United Kingdom,499
536409,21955,1,7.95,United Kingdom,500
536409,72802C,1,4.25,United Kingdom,501
536409,22109,1,3.75,United Kingdom,502
536409,85116,5,2.1,United Kingdom,503
536409,22531,1,0.42,United Kingdom,504
536409,21811,1,1.25,United Kingdom,505
536409,22183,1,6.75,United Kingdom,506
536409,21678,6,0.85,United Kingdom,507
536409,21676,6,0.85,United Kingdom,508
536409,84625A,1,2.95,United Kingdom,509
536409,84625C,3,2.95,United Kingdom,510
536409,21931,2,1.95,United Kingdom,511
536409,85169B,12,1.25,United Kingdom,512
536409,16238,28,0.21,United Kingdom,513
536409,20668,24,0.12,United Kingdom,514
536409,84906,1,5.95,United Kingdom,515
536409,21867,1,1.25,United Kingdom,516
536409,22075,1,1.65,United Kingdom,517
536409,21866,1,1.25,United Kingdom,518
536409,21326,12,0.65,United Kingdom,519
536409,21065,1,5.95,United Kingdom,520
536409,22074,1,1.65,United Kingdom,521
536409,22900,1,2.95,United Kingdom,522
536409,20713,1,1.95,United Kingdom,523
536409,20966,2,1.25,United Kingdom,524
536409,21116,1,4.95,United Kingdom,525
536409,90199C,2,6.35,United Kingdom,526
536409,22633,1,2.1,United Kingdom,527
536409,22866,1,2.1,United Kingdom,528
536409,22198,1,1.65,United Kingdom,529
536409,21824,3,1.45,United Kingdom,530
536409,21823,3,1.45,United Kingdom,531
536409,22153,6,0.42,United Kingdom,532
536409,22197,2,0.85,United Kingdom,533
536409,85099B,2,1.95,United Kingdom,534
536409,85099F,1,1.95,United Kingdom,535
536409,20717,1,1.25,United Kingdom,536
536409,20723,1,0.85,United Kingdom,537
536409,22900,1,2.95,United Kingdom,538
536409,21980,12,0.29,United Kingdom,539
536409,22111,1,4.95,United Kingdom,540
536409,22112,1,4.95,United Kingdom,541
536412,20728,3,1.65,United Kingdom,542
536412,22382,3,1.65,United Kingdom,543
536412,22326,1,2.95,United Kingdom,544
536412,22662,4,1.65,United Kingdom,545
536412,22383,3,1.65,United Kingdom,546
536412,20727,3,1.65,United Kingdom,547
536412,22328,1,2.95,United Kingdom,548
536412,22327,1,2.95,United Kingdom,549
536412,22630,1,1.95,United Kingdom,550
536412,22629,1,1.95,United Kingdom,551
536412,21245,1,1.69,United Kingdom,552
536412,21244,1,1.69,United Kingdom,553
536412,21242,1,1.69,United Kingdom,554
536412,21243,1,1.69,United Kingdom,555
536412,22327,1,2.95,United Kingdom,556
536412,22273,1,2.95,United Kingdom,557
536412,22940,3,4.25,United Kingdom,558
536412,22652,5,1.65,United Kingdom,559
536412,22759,1,1.65,United Kingdom,560
536412,21880,10,0.65,United Kingdom,561
536412,21738,1,2.95,United Kingdom,562
536412,22077,1,1.65,United Kingdom,563
536412,85049E,3,1.25,United Kingdom,564
536412,22961,24,1.45,United Kingdom,565
536412,21448,2,1.65,United Kingdom,566
536412,22837,3,4.65,United Kingdom,567
536412,22749,2,3.75,United Kingdom,568
536412,22940,1,4.25,United Kingdom,569
536412,22749,1,3.75,United Kingdom,570
536412,22077,2,1.65,United Kingdom,571
536412,21738,2,2.95,United Kingdom,572
536412,85049E,1,1.25,United Kingdom,573
536412,22243,6,1.65,United Kingdom,574
536412,22141,1,2.1,United Kingdom,575
536412,22144,2,2.1,United Kingdom,576
536412,22243,3,1.65,United Kingdom,577
536412,22077,7,1.65,United Kingdom,578
536412,21448,1,1.65,United Kingdom,579
536412,22759,5,1.65,United Kingdom,580
536412,22242,5,1.65,United Kingdom,581
536412,85049E,12,1.25,United Kingdom,582
536412,21731,5,1.65,United Kingdom,583
536412,22243,1,1.65,United Kingdom,584
536412,21739,2,2.95,United Kingdom,585
536412,21738,5,2.95,United Kingdom,586
536412,22271,2,2.95,United Kingdom,587
536412,22273,1,2.95,United Kingdom,588
536412,22274,2,2.95,United Kingdom,589
536412,22749,1,3.75,United Kingdom,590
536412,22751,2,3.75,United Kingdom,591
536412,21034,1,0.95,United Kingdom,592
536412,22273,2,2.95,United Kingdom,593
536412,22568,3,3.75,United Kingdom,594
536412,22141,1,2.1,United Kingdom,595
536412,22144,1,2.1,United Kingdom,596
536412,22570,3,3.75,United Kingdom,597
536412,22569,2,3.75,United Kingdom,598
536412,21448,1,1.65,United Kingdom,599
536412,22086,1,2.95,United Kingdom,600
536412,22569,2,3.75,United Kingdom,601
536412,21448,2,1.65,United Kingdom,602
536412,22968,4,9.95,United Kingdom,603
536412,22902,7,2.1,United Kingdom,604
536412,21448,2,1.65,United Kingdom,605
536412,22902,7,2.1,United Kingdom,606
536412,21710,1,4.95,United Kingdom,607
536412,21708,1,4.95,United Kingdom,608
536412,21711,1,4.95,United Kingdom,609
536412,22179,2,6.75,United Kingdom,610
536412,22197,5,0.85,United Kingdom,611
536412,22900,2,2.95,United Kingdom,612
536412,21706,1,4.95,United Kingdom,613
536412,22468,2,6.75,United Kingdom,614
536412,20725,1,1.65,United Kingdom,615
536412,85184C,1,2.95,United Kingdom,616
536412,21708,1,4.95,United Kingdom,617
536412,22900,2,2.95,United Kingdom,618
536412,21706,1,4.95,United Kingdom,619
536412,22988,6,1.25,United Kingdom,620
536412,85184C,1,2.95,United Kingdom,621
536412,20750,1,7.95,United Kingdom,622
536414,22139,56,0.0,United Kingdom,623
536415,22952,10,0.55,United Kingdom,624
536415,22910,5,2.95,United Kingdom,625
536415,22739,3,1.65,United Kingdom,626
536415,22738,3,1.65,United Kingdom,627
536415,22736,3,1.65,United Kingdom,628
536415,22909,5,0.85,United Kingdom,629
536415,35591T,2,1.25,United Kingdom,630
536415,22186,5,2.95,United Kingdom,631
536415,22695,3,1.45,United Kingdom,632
536415,22470,1,2.95,United Kingdom,633
536415,22580,1,5.95,United Kingdom,634
536415,22469,5,1.65,United Kingdom,635
536415,22147,4,1.45,United Kingdom,636
536415,22130,6,0.85,United Kingdom,637
536415,21791,3,1.25,United Kingdom,638
536415,22694,5,2.1,United Kingdom,639
536415,21790,3,0.85,United Kingdom,640
536415,22149,4,2.1,United Kingdom,641
536415,22900,3,2.95,United Kingdom,642
536415,22961,3,1.45,United Kingdom,643
536415,22321,12,0.85,United Kingdom,644
536415,22594,5,0.85,United Kingdom,645
536415,22593,4,0.85,United Kingdom,646
536415,22595,6,0.85,United Kingdom,647
536415,21986,12,0.29,United Kingdom,648
536415,22750,2,3.75,United Kingdom,649
536415,22616,12,0.29,United Kingdom,650
536415,22775,1,1.25,United Kingdom,651
536415,22899,2,2.1,United Kingdom,652
536415,22367,3,1.95,United Kingdom,653
536415,22942,3,8.5,United Kingdom,654
536415,22941,3,8.5,United Kingdom,655
536415,22086,6,2.95,United Kingdom,656
536415,22940,2,4.25,United Kingdom,657
536415,21212,2,0.55,United Kingdom,658
536415,21976,2,0.55,United Kingdom,659
536415,22951,2,0.55,United Kingdom,660
536415,21977,3,0.55,United Kingdom,661
536415,22834,3,2.1,United Kingdom,662
536415,22867,3,2.1,United Kingdom,663
536415,22865,3,2.1,United Kingdom,664
536415,22632,3,2.1,United Kingdom,665
